nombre_parroquia,nro_pobladores,superficie_parroquia,densidad_poblacional
PUEMBO,17780,32,560
SAN ANTONIO,49984,112,448
SAN JOSÉ DE MINAS,5589,294,19
TABABELA,3851,25,152
TUMBACO,79109,66,1207
YARUQUÍ,26564,73,364
ZÁMBIZA,6160,8,814
CAYAMBE,49308,255,193
ASCÁZUBI,7851,35,227
CANGAHUA,18037,336,54
OLMEDO,6515,399,16
OTÓN,3167,24,130
SANTA ROSA DE CUZUBAMBA,5996,22,275
SAN JOSÉ DE AYORA,14393,131,110
MACHACHI,32814,393,84
ALOAG,10319,213,49
ALOASÍ,12530,66,191
CUTUGLAHUA,25422,32,783
EL CHAUPI,1425,143,10
